#
# Ground-based BVRcIc photometry of Kepler Cepheid
# V1154 Cygni and Cepheid candidates
#
# SRO: Sonoita Research Obs.  LOT: Lulin One-meter Telescope 
# SLT: SLT, lulin Obs.        TNG: Tenagra Obs.
#
# KIC ID      HJD            magnitude  mag_err  Filter   Observatory
#
02968811   2455342.9260         13.786  0.006   V  TNG
02968811   2455343.9235         13.827  0.006   V  TNG
02968811   2455346.9144         13.882  0.006   V  TNG
02968811   2455347.9121         13.908  0.006   V  TNG
02968811   2455348.9270         13.936  0.007   V  TNG
02968811   2455349.9079         13.985  0.006   V  TNG
02968811   2455350.9028         14.016  0.008   V  TNG
02968811   2455351.8998         14.024  0.007   V  TNG
02968811   2455352.8969         13.982  0.008   V  TNG
02968811   2455355.8913         13.771  0.007   V  TNG
02968811   2455356.8884         13.771  0.007   V  TNG
02968811   2455357.8832         13.815  0.006   V  TNG
02968811   2455328.9631         13.804  0.008   V  TNG
02968811   2455103.7700		13.098  0.006   R  SRO
02968811   2455103.7809 	13.102  0.006   R  SRO
02968811   2455104.7544 	13.075  0.005   R  SRO
02968811   2455104.7653 	13.084  0.005   R  SRO
02968811   2455105.7392 	13.080  0.006   R  SRO
02968811   2455105.7500 	13.085  0.007   R  SRO
02968811   2455106.7685 	13.101  0.006   R  SRO
02968811   2455106.7793 	13.110  0.006   R  SRO
02968811   2455109.7612 	13.196  0.008   R  SRO
02968811   2455109.7720 	13.184  0.013   R  SRO
02968811   2455137.6534 	13.151  0.006   R  SRO
02968811   2455137.6643 	13.164  0.006   R  SRO
02968811   2455139.6566 	13.204  0.007   R  SRO
02968811   2455139.6675 	13.201  0.007   R  SRO
02968811   2455248.0022 	13.258  0.007   R  SRO
02968811   2455253.9769 	13.054  0.006   R  SRO
02968811   2455253.9991 	13.069  0.006   R  SRO
02968811   2455257.9718 	13.171  0.011   R  SRO
02968811   2455257.9895 	13.185  0.010   R  SRO
02968811   2455258.9710 	14.096  9.999   R  SRO
02968811   2455258.9888 	13.202  0.006   R  SRO
02968811   2455261.9710 	15.442  9.999   R  SRO
02968811   2455261.9887 	13.255  0.007   R  SRO
02968811   2455264.9695 	13.192  0.006   R  SRO
02968811   2455264.9871 	13.195  0.006   R  SRO
02968811   2455265.9656 	13.123  0.006   R  SRO
02968811   2455265.9831 	13.128  0.006   R  SRO
02968811   2455269.9620 	13.114  0.005   R  SRO
02968811   2455269.9796 	13.117  0.005   R  SRO
02968811   2455271.9591 	13.168  0.005   R  SRO
02968811   2455271.9767 	13.166  0.005   R  SRO
02968811   2455272.9582 	13.181  0.005   R  SRO
02968811   2455272.9758 	13.184  0.005   R  SRO
02968811   2455273.9619 	13.195  0.005   R  SRO
02968811   2455273.9795 	13.199  0.005   R  SRO
02968811   2455274.9588 	13.212  0.005   R  SRO
02968811   2455274.9764 	13.219  0.005   R  SRO
02968811   2455275.9582 	13.239  0.005   R  SRO
02968811   2455275.9758 	13.240  0.005   R  SRO
02968811   2455277.9536 	13.268  0.011   R  SRO
02968811   2455277.9712 	13.246  0.015   R  SRO
02968811   2455278.3733         13.277  0.003   R  LOT
02968811   2455278.3374         13.280  0.003   R  LOT
02968811   2455279.3415         13.237  0.004   R  LOT
02968811   2455385.3109         13.144  0.003   R  LOT
02968811   2455408.2682         13.292  0.002   R  LOT
