#   2MASS JHK light curves for RR Lyrae star SDSSJ015450+001501 (2969 epochs) 
#   For details, see Szabo et al. (2013) 
#   sourceID     ra        dec        mjd_bjd      J     Jerr Jq    H     Herr Hq    K     Kerr Kq
   184434518 28.708983  0.250318  50721.3028570 14.364  0.033  A 14.117  0.039  A 14.002  0.071  A
   184434613 28.708963  0.250355  50721.3045570 14.332  0.031  A 14.047  0.038  A 14.018  0.068  A
   184437532 28.708992  0.250420  50721.3048570 14.290  0.030  A 13.973  0.032  A 13.944  0.074  A
   184437632 28.709004  0.250368  50721.3711591 14.382  0.032  A 14.163  0.041  A 13.884  0.066  A
   184440569 28.708965  0.250372  50721.3714591 14.392  0.031  A 14.119  0.038  A 14.036  0.075  A
   184440670 28.708975  0.250363  50721.3732592 14.342  0.031  A 14.129  0.041  A 13.886  0.064  A
   186258950 28.708986  0.250368  50721.3735592 14.371  0.030  A 14.157  0.045  A 14.139  0.079  A
   186259034 28.708986  0.250393  50721.3752592 14.299  0.031  A 14.087  0.038  A 14.053  0.069  A
   186260564 28.708993  0.250404  50721.3755592 14.356  0.031  A 14.059  0.034  A 13.996  0.073  A
   186263690 28.708997  0.250380  50721.4421613 14.425  0.031  A 14.245  0.047  A 13.851  0.072  A
   186263767 28.709001  0.250371  50721.4424613 14.444  0.035  A 14.174  0.045  A 14.404  0.112  B
   186276437 28.708984  0.250405  50721.4441613 14.456  0.033  A 14.189  0.047  A 14.239  0.097  A
   186276522 28.708976  0.250412  50721.4445613 14.462  0.034  A 14.183  0.046  A 14.194  0.096  A
   186279647 28.709014  0.250411  50721.4462614 14.467  0.033  A 14.204  0.046  A 14.041  0.084  A
   186279732 28.708996  0.250362  50721.4465614 14.489  0.032  A 14.140  0.043  A 13.948  0.079  A
   183810561 28.709003  0.250356  50724.3696448 14.191  0.029  A 13.905  0.038  A 13.902  0.061  A
   183827425 28.708965  0.250397  50724.3700449 14.224  0.032  A 13.943  0.043  A 13.864  0.063  A
   183827492 28.708980  0.250366  50724.3717449 14.249  0.035  A 13.935  0.049  A 13.910  0.058  A
   183830294 28.709001  0.250376  50724.3720449 14.217  0.031  A 13.906  0.039  A 13.787  0.054  A
   183830378 28.709011  0.250391  50724.3737449 14.253  0.028  A 13.919  0.039  A 13.876  0.061  A
   183833127 28.708993  0.250386  50724.3741450 14.152  0.027  A 13.979  0.038  A 13.986  0.061  A
    11514309 28.708967  0.250402  50725.2460671 14.362  0.030  A 14.067  0.043  A 14.032  0.072  A
    11514393 28.708975  0.250383  50725.2463671 14.367  0.029  A 14.144  0.041  A 14.190  0.076  A
    11517318 28.709004  0.250415  50725.2481672 14.378  0.028  A 14.133  0.036  A 14.136  0.079  A
    11517413 28.709016  0.250399  50725.2484672 14.510  0.034  A 14.153  0.040  A 14.190  0.077  A
    11520339 28.709019  0.250402  50725.2501672 14.380  0.031  A 14.116  0.040  A 14.095  0.073  A
    11520440 28.709018  0.250422  50725.2505672 14.446  0.033  A 14.125  0.047  A 13.895  0.057  A
    11535652 28.708992  0.250390  50725.3427696 14.480  0.032  A 14.372  0.052  A 14.382  0.094  A
    11535755 28.709016  0.250395  50725.3430696 14.534  0.036  A 14.219  0.056  A 14.212  0.074  A
    11538834 28.709031  0.250383  50725.3447696 14.525  0.032  A 14.214  0.049  A 14.181  0.074  A
    11538929 28.709019  0.250372  50725.3451696 14.487  0.036  A 14.199  0.040  A 14.237  0.079  A
    11542042 28.709016  0.250385  50725.3468697 14.476  0.033  A 14.252  0.044  A 14.276  0.087  A
    11542141 28.709017  0.250409  50725.3471697 14.485  0.030  A 14.231  0.058  A 14.298  0.084  A
    11557271 28.709013  0.250373  50725.4288716 14.020  0.025  A 13.968  0.047  A 13.862  0.065  A
    11557376 28.708994  0.250363  50725.4291717 14.057  0.028  A 13.996  0.048  A 13.961  0.070  A
    11560310 28.708996  0.250412  50725.4308717 14.045  0.029  A 14.111  0.053  A 13.905  0.068  A
    11560400 28.708988  0.250344  50725.4311717 14.096  0.027  A 13.926  0.050  A 14.209  0.086  A
    11563328 28.708983  0.250380  50725.4329717 14.014  0.030  A 13.974  0.041  A 14.093  0.079  A
    11563418 28.709003  0.250342  50725.4332718 14.021  0.027  A 13.945  0.042  A 13.896  0.068  A
   186282864 28.709017  0.250396  50726.3063925 14.159  0.029  A 13.923  0.043  A 13.852  0.066  A
   186282945 28.709022  0.250395  50726.3066925 14.179  0.029  A 13.979  0.039  A 13.817  0.068  A
   186294860 28.708972  0.250375  50726.3083926 14.223  0.029  A 13.975  0.043  A 13.754  0.066  A
   186294948 28.709012  0.250369  50726.3087926 14.248  0.033  A 13.809  0.041  A 13.982  0.082  A
   186297962 28.709016  0.250344  50726.3104926 14.206  0.031  A 14.038  0.045  A 13.926  0.073  A
   186298043 28.708988  0.250388  50726.3107926 14.185  0.030  A 13.918  0.042  A 13.771  0.066  A
   186300910 28.709010  0.250405  50726.3801942 14.247  0.030  A 14.042  0.051  A 13.914  0.069  A
   186300994 28.708971  0.250384  50726.3804942 14.233  0.029  A 13.922  0.047  A 13.891  0.073  A
   186408511 28.709006  0.250357  50726.3821943 14.338  0.033  A 14.029  0.050  A 13.876  0.066  A
   186408590 28.708997  0.250413  50726.3825943 14.304  0.033  A 13.950  0.050  A 13.832  0.063  A
   186411508 28.708994  0.250386  50726.3842943 14.299  0.034  A 14.068  0.052  A 13.842  0.075  A
   186411602 28.708988  0.250392  50726.3845943 14.269  0.031  A 13.980  0.052  A 14.077  0.080  A
   186780078 28.709009  0.250417  50727.2636138 14.451  0.032  A 14.259  0.047  A 14.182  0.080  A
   186780159 28.708971  0.250392  50727.2639138 14.447  0.031  A 14.116  0.045  A 14.134  0.075  A
   186797971 28.708979  0.250392  50727.2656138 14.401  0.031  A 14.263  0.046  A 14.139  0.087  A
   186798049 28.708985  0.250390  50727.2659138 14.517  0.034  A 14.269  0.044  A 14.382  0.112  B
   186800894 28.708971  0.250412  50727.2677139 14.494  0.033  A 14.261  0.045  A 14.075  0.082  A
   186800961 28.709004  0.250380  50727.2680139 14.384  0.030  A 14.167  0.048  A 14.176  0.088  A
   186803815 28.709010  0.250366  50727.3497157 14.076  0.028  A 13.995  0.038  A 13.927  0.068  A
   186803901 28.709007  0.250371  50727.3500157 14.085  0.029  A 13.971  0.037  A 14.000  0.072  A
   186868718 28.709035  0.250397  50727.3518157 14.062  0.029  A 13.963  0.040  A 13.974  0.072  A
   186868823 28.708994  0.250415  50727.3521157 14.059  0.028  A 14.031  0.040  A 13.852  0.063  A
